title,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publisher,Bookauthor_no,Bookauthor_Main,Bookauthor_Co1,Bookauthor_Co2,Age_years,title_nwords
A Christmas Carol,4.05,en-CA,160,4359,353,Candlewick Press,2,Charles Dickens,P.J. Lynch,0,14,3
Creepers,3.66,en-CA,388,4513,515,CDS Books,1,David Morrell,0,0,15,1
A Circle of Quiet (Crosswicks Journals #1),4.21,en-CA,246,5236,506,HarperOne,1,Madeleine L'Engle,0,0,36,7
The Last Shot: City Streets  Basketball Dreams,4.17,en-CA,233,5106,155,Mariner Books,1,Darcy Frey,0,0,16,8
A Theory of Fun for Game Design,3.94,en-CA,256,2113,181,Paraglyph Press,2,Raph Koster,Will Wright,0,16,7
Monkeyluv: And Other Essays on Our Lives as Animals,4.17,en-CA,209,1024,102,Scribner,1,Robert M. Sapolsky,0,0,14,9
People of the Lie: The Hope for Healing Human Evil,3.98,en-CA,272,6256,459,Touchstone,1,M. Scott Peck,0,0,22,10
Nineteen Eighty-Four,4.18,eng,387,215,17,1st World Library,1,George Orwell,0,0,15,2
The Custard Kid (Black Cats),4.4,eng,62,5,0,A & C Black (Childrens books),1,Terry Deary,0,0,19,5
Women and Writing,4.07,eng,216,244,13,A Harvest Book/Harcourt  Inc.,2,Virginia Woolf,Michèle Barrett,0,17,3
Advanced Global Illumination,4.5,eng,366,17,2,A K PETERS,1,Philip Dutre,0,0,14,3
The Drowned and the Saved,4.4,eng,170,3542,169,Abacus,1,Primo Levi,0,0,31,5
Brief Interviews with Hideous Men,3.86,eng,273,18335,1155,Abacus,1,David Foster Wallace,0,0,20,5
Jennifer Government,3.66,eng,352,10771,921,Abacus,1,Max Barry,0,0,16,2
Venice: Tales of the City,3.68,eng,464,34,3,Abacus,1,Michelle Lovric,0,0,15,5
The Age of Extremes: The Short Twentieth Century  1914-1991,4.25,eng,638,348,24,Abacus,1,Eric Hobsbawm,0,0,25,10
Treasure Island (Great Illustrated Classics),4.05,eng,232,91,16,Abdo Publishing Company,3,Deidre S. Laiken,A.J. McAllister,Robert Louis Stevenson,14,5
A Christmas Carol (Great Illustrated Classics),4.36,eng,238,466,31,Abdo Publishing Company,2,Malvina G. Vogel,Charles Dickens,0,15,6
Exclusion & Embrace: A Theological Exploration of Identity  Otherness  and Reconciliation,4.27,eng,306,1967,131,Abingdon Press,1,Miroslav Volf,0,0,24,13
The Adventuress,3.33,eng,144,1058,148,Abrams,1,Audrey Niffenegger,0,0,14,2
Art Out of Time: Unknown Comics Visionaries  1900-1969,4.05,eng,320,226,24,Abrams,1,Dan Nadel,0,0,14,9
Strangers In Paradise  Pocket Book 5,4.38,eng,392,999,24,Abstract Studio,1,Terry Moore,0,0,15,7
The Irish Anatomist: A Study of Flann O'Brien,5.0,eng,222,1,0,Academica Press,1,Keith Donohue,0,0,17,8
Stranger in a Strange Land,3.92,eng,528,251872,6241,Ace,1,Robert A. Heinlein,0,0,29,5
Rose Daughter,3.77,eng,304,17168,997,Ace,1,Robin McKinley,0,0,22,2
Changing Planes,3.83,eng,239,3489,335,Ace,1,Ursula K. Le Guin,0,0,15,2
Tales from Earthsea (Earthsea Cycle  #5),4.04,eng,280,14549,468,Ace,1,Ursula K. Le Guin,0,0,17,7
Neuromancer,3.9,eng,384,1647,175,Ace,1,William Gibson,0,0,16,1
Faith of Tarot (Tarot  #3),3.49,eng,304,1273,11,Ace,1,Piers Anthony,0,0,33,6
Hard Sell,3.38,eng,268,700,14,Ace,1,Piers Anthony,0,0,27,2
Fractal Mode (Mode  #2),3.64,eng,344,3456,30,Ace,1,Piers Anthony,0,0,28,5
Goblin Moon (The Goblin Moon Duology #1),3.79,eng,293,244,36,Ace,1,Teresa Edgerton,0,0,29,7
The Work of the Sun (The Green Lion Trilogy #3),4.0,eng,258,157,5,Ace,1,Teresa Edgerton,0,0,30,10
The Castle of  the Silver Wheel,3.94,eng,278,89,4,Ace,1,Teresa Edgerton,0,0,27,7
Rocket Ship Galileo (Heinlein's Juveniles  #1),3.71,eng,211,6329,145,Ace,1,Robert A. Heinlein,0,0,16,7
Starship Troopers,4.01,eng,280,1100,165,Ace,1,Robert A. Heinlein,0,0,14,2
The Lost Years of Merlin,3.98,eng,304,12117,452,Ace,1,T.A. Barron,0,0,18,5
The Mirror of Merlin,4.06,eng,288,6661,54,Ace,1,T.A. Barron,0,0,18,4
The Wings of Merlin,4.11,eng,288,6211,63,Ace,1,T.A. Barron,0,0,17,4
The Omega Cage (Matador  #4),3.78,eng,256,522,18,Ace,2,Steve Perry,Michael Reaves,0,32,6
The 97th Step (Matador  #5),4.22,eng,304,744,9,Ace,1,Steve Perry,0,0,31,6
